frequency_hz,band_index,band_label,energy,energy_relative_db,gate,activation_rms,activation_relative_db
50.0,0,<300 Hz,0.49225515127182007,-0.08365505933761597,0.6679303646087646,0.3501100540161133,-0.09679116308689117
50.0,1,300-800 Hz,6.387135363183916e-05,-38.95249557495117,0.5394530296325684,0.03381838649511337,-20.397825241088867
50.0,2,0.8-2 kHz,1.744714791129809e-05,-44.588314056396484,0.5560382604598999,0.054363079369068146,-16.274803161621094
50.0,3,2-4 kHz,6.527369805553462e-06,-48.858177185058594,0.5583019256591797,0.05510870739817619,-16.156478881835938
50.0,4,>4 kHz,4.885059297521366e-06,-50.116859436035156,0.5326516628265381,0.031576938927173615,-20.99348258972168
75.0,0,<300 Hz,0.48181214928627014,-0.1767803132534027,0.6660100221633911,0.3453405499458313,-0.215931236743927
75.0,1,300-800 Hz,0.00017337477765977383,-34.615699768066406,0.5394859910011292,0.03400789573788643,-20.349288940429688
75.0,2,0.8-2 kHz,1.8713435565587133e-05,-44.28402328491211,0.5560386180877686,0.05436484143137932,-16.274520874023438
75.0,3,2-4 kHz,6.535511602123734e-06,-48.85276412963867,0.5583019256591797,0.05510871857404709,-16.156476974487305
75.0,4,>4 kHz,4.966397682437673e-06,-50.045143127441406,0.5326516628265381,0.03157708793878555,-20.993440628051758
100.0,0,<300 Hz,0.46526870131492615,-0.32851946353912354,0.6629287600517273,0.33773621916770935,-0.40932995080947876
100.0,1,300-800 Hz,0.0005565729225054383,-29.550338745117188,0.5396013259887695,0.03466305509209633,-20.18354606628418
100.0,2,0.8-2 kHz,2.0911846149829216e-05,-43.801631927490234,0.5560392141342163,0.05436790734529495,-16.274030685424805
100.0,3,2-4 kHz,6.546490112668835e-06,-48.84547424316406,0.5583019852638245,0.05510874092578888,-16.15647315979004
100.0,4,>4 kHz,5.10914060214418e-06,-49.922080993652344,0.5326517224311829,0.03157733753323555,-20.99337387084961
125.0,0,<300 Hz,0.4413841962814331,-0.557390034198761,0.658393144607544,0.32664746046066284,-0.6992969512939453
125.0,1,300-800 Hz,0.0016231888439506292,-24.901866912841797,0.5399221777915955,0.0364280641078949,-19.752161026000977
125.0,2,0.8-2 kHz,2.3437907657353207e-05,-43.30636978149414,0.5560400485992432,0.054371438920497894,-16.273466110229492
125.0,3,2-4 kHz,6.560099791386165e-06,-48.836456298828125,0.5583019852638245,0.05510875582695007,-16.156471252441406
