frequency_hz,band_index,band_label,energy,energy_relative_db,gate,activation_rms,activation_relative_db
150.0,4,1-1.5 kHz,1.0395346180303022e-05,-46.842628479003906,0.6208575367927551,0.09437815845012665,-13.117085456848145
150.0,5,1.5-2.5 kHz,8.168731255864259e-06,-47.88947296142578,0.5760235786437988,0.0267553199082613,-24.066312789916992
150.0,6,2.5-4 kHz,7.33677461539628e-06,-48.35596466064453,0.5410618782043457,0.011218489147722721,-31.615829467773438
150.0,7,>4 kHz,5.370749022404198e-06,-49.710662841796875,0.5263662338256836,0.028228726238012314,-23.600690841674805
175.0,0,<250 Hz,0.28064069151878357,-2.5295090675354004,0.6025786399841309,0.19791100919246674,-6.685116767883301
175.0,1,250-500 Hz,0.03136137127876282,-12.047065734863281,0.6396963596343994,0.13182149827480316,-10.214791297912598
175.0,2,500-750 Hz,1.6969173884717748e-05,-44.71440887451172,0.5396112203598022,0.031647272408008575,-22.6077880859375
175.0,3,750-1000 Hz,2.2720141714671627e-05,-43.446903228759766,0.6275765895843506,0.06984450668096542,-15.731870651245117
175.0,4,1-1.5 kHz,1.0828966878762003e-05,-46.66514587402344,0.6208577156066895,0.09437872469425201,-13.117033004760742
175.0,5,1.5-2.5 kHz,8.2423666754039e-06,-47.850494384765625,0.5760235786437988,0.02675548382103443,-24.066259384155273
175.0,6,2.5-4 kHz,7.185833055700641e-06,-48.44624328613281,0.5410618185997009,0.011217898689210415,-31.61628532409668
175.0,7,>4 kHz,5.361828698369209e-06,-49.7178840637207,0.5263662338256836,0.02822870947420597,-23.60069465637207
200.0,0,<250 Hz,0.2269797921180725,-3.451143503189087,0.5918518304824829,0.17320473492145538,-7.843320369720459
200.0,1,250-500 Hz,0.053107645362615585,-9.759445190429688,0.6471266746520996,0.15268614888191223,-8.938523292541504
200.0,2,500-750 Hz,1.7318339814664796e-05,-44.625953674316406,0.5396113395690918,0.03164792060852051,-22.60761260986328
200.0,3,750-1000 Hz,1.9400134988245554e-05,-44.132965087890625,0.6275753974914551,0.06983960419893265,-15.7324800491333
200.0,4,1-1.5 kHz,1.0469448170624673e-05,-46.81177520751953,0.6208575963973999,0.09437825530767441,-13.11707592010498
200.0,5,1.5-2.5 kHz,7.917999027995393e-06,-48.02486038208008,0.576023519039154,0.026754755526781082,-24.066495895385742
200.0,6,2.5-4 kHz,6.344412213366013e-06,-48.98710250854492,0.541061520576477,0.011214604601264,-31.61883544921875
200.0,7,>4 kHz,5.248337856755825e-06,-49.810794830322266,0.5263662338256836,0.028228498995304108,-23.600759506225586
225.0,0,<250 Hz,0.1752929389476776,-4.573371410369873,0.5809775590896606,0.14808019995689392,-9.204575538635254
225.0,1,250-500 Hz,0.08238209038972855,-7.852687358856201,0.6567829847335815,0.17806988954544067,-7.602705478668213
225.0,2,500-750 Hz,1.5654768503736705e-05,-45.06454849243164,0.5396108031272888,0.03164493292570114,-22.60843276977539
225.0,3,750-1000 Hz,1.4464763808064163e-05,-45.407901763916016,0.6275737285614014,0.06983231753110886,-15.733386039733887
225.0,4,1-1.5 kHz,9.55122959567234e-06,-47.21042251586914,0.6208572387695312,0.09437708556652069,-13.11718463897705
225.0,5,1.5-2.5 kHz,7.3857809184119105e-06,-48.327049255371094,0.5760233402252197,0.026753559708595276,-24.066884994506836
225.0,6,2.5-4 kHz,5.274302111502038e-06,-49.78936767578125,0.5410612225532532,0.01121041551232338,-31.622081756591797
