model,seed,parameters,auc,f1,precision,recall,effective_rank,mean_abs_offdiag_correlation,train_normal,validation_normal,test_normal,test_anomalous
conv1d304,42,304,0.4927966101694916,0.1789409616555082,0.875,0.09966101694915254,1.0915504693984985,0.9673680067062378,3126,549,400,1475
conv1d304,123,304,0.5006016949152542,0.14091470951792337,0.7972027972027972,0.07728813559322034,1.0037572383880615,0.9995766282081604,3126,549,400,1475
conv1d304,456,304,0.5519457627118645,0.17003058103975535,0.86875,0.09423728813559322,1.0058072805404663,0.9991099834442139,3126,549,400,1475
egfn,42,304,0.6208627118644068,0.29621254946297343,0.891156462585034,0.1776271186440678,3.4838979244232178,0.5894556641578674,3126,549,400,1475
egfn,123,304,0.5544474576271187,0.1062618595825427,0.7924528301886793,0.05694915254237288,2.9219043254852295,0.5572996139526367,3126,549,400,1475
egfn,456,304,0.6012271186440679,0.24883720930232558,0.8734693877551021,0.14508474576271185,2.5185537338256836,0.7081990242004395,3126,549,400,1475
