experiment,trainable_parameters,threshold,accuracy,precision,recall,f1,auc,false_positives,false_negatives
conv1d_matched,188754,0.6,0.969551282051282,0.9814814814814815,0.7464788732394366,0.848,0.9775106334207778,1,18
egfn_free,188770,0.78,0.9647435897435898,0.9298245614035088,0.7464788732394366,0.828125,0.983928889794463,4,18
egfn_sinc,187978,0.62,0.9471153846153846,0.796875,0.7183098591549296,0.7555555555555555,0.9653108524565112,13,20
