model,trainable_parameters,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,threshold_mean,threshold_std
conv1d,27594,3,0.9535256410256411,0.021560294947233497,0.8453458637002941,0.15890871436722642,0.7511737089201879,0.00813169393224824,0.7909899430510118,0.07686606874582053,0.9733421626807258,0.007961187964796465,0.48666666666666664,0.2098412098071619
egfn_temporal_wide,189802,3,0.9743589743589743,0.010508715583817331,0.9654474728487886,0.030870527697342023,0.8028169014084506,0.07452820594548146,0.8758666885389327,0.053274097189183044,0.9875709955938161,0.003396783541318867,0.6866666666666666,0.08621678104251711
