model,operating_point,threshold,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
Conv1D,default,0.5,0.9551282051282052,0.7654320987654321,0.8732394366197183,0.8157894736842105,0.9822479178870692,534,19,9,62
Conv1D,calibrated,0.65,0.9599358974358975,0.8833333333333333,0.7464788732394366,0.8091603053435115,0.9822479178870692,546,7,18,53
Temporal EGFN Wide,default,0.5,0.9294871794871795,0.6391752577319587,0.8732394366197183,0.7380952380952381,0.983928889794463,518,35,9,62
Temporal EGFN Wide,calibrated,0.78,0.9647435897435898,0.9298245614035088,0.7464788732394366,0.828125,0.983928889794463,549,4,18,53
