frequency_hz,band_index,band_label,energy,energy_relative_db,gate,activation_rms,activation_relative_db
50.0,0,<250 Hz,0.3126087188720703,-20.341999053955078,0.619697093963623,0.199264258146286,-26.34487533569336
50.0,1,250-500 Hz,0.14970172941684723,-23.53974151611328,0.5881291627883911,0.13081827759742737,-30.00009536743164
50.0,2,500-750 Hz,0.027029521763324738,-30.97362518310547,0.5512659549713135,0.07271573692560196,-35.100894927978516
50.0,3,750-1000 Hz,1.0370666980743408,-15.133942604064941,0.7225197553634644,0.48515433073043823,-18.61586570739746
50.0,4,1-1.5 kHz,0.0825013667345047,-26.127397537231445,0.5526889562606812,0.08686116337776184,-33.55695343017578
50.0,5,1.5-2.5 kHz,0.03890465199947357,-29.39199447631836,0.5583950877189636,0.06330928206443787,-36.304115295410156
50.0,6,2.5-4 kHz,0.2723618447780609,-20.940547943115234,0.6170089244842529,0.18793462216854095,-26.853328704833984
50.0,7,>4 kHz,0.3918490409851074,-19.360820770263672,0.6452263593673706,0.24573157727718353,-24.524246215820312
75.0,0,<250 Hz,0.2927544116973877,-20.62697410583496,0.6160688400268555,0.1908063143491745,-26.721609115600586
75.0,1,250-500 Hz,0.022666381672024727,-31.738187789916992,0.5553696155548096,0.04797857254743576,-38.71251678466797
75.0,2,500-750 Hz,0.04335951432585716,-28.921165466308594,0.5557215809822083,0.08709356933832169,-33.53374099731445
75.0,3,750-1000 Hz,0.5977271795272827,-17.526979446411133,0.6625239849090576,0.3224067986011505,-22.16537857055664
75.0,4,1-1.5 kHz,0.05100414529442787,-28.215953826904297,0.5436359643936157,0.06656575202941895,-35.868446350097656
75.0,5,1.5-2.5 kHz,0.06537317484617233,-27.13801383972168,0.5658838152885437,0.08308095484972,-33.94343566894531
75.0,6,2.5-4 kHz,0.28232720494270325,-20.784482955932617,0.6190364956855774,0.1924237608909607,-26.648290634155273
75.0,7,>4 kHz,0.4325782358646393,-18.93136215209961,0.6530491709709167,0.26325052976608276,-23.92607879638672
100.0,0,<250 Hz,0.3227454423904419,-20.20340919494629,0.6215230226516724,0.2036806344985962,-26.154470443725586
100.0,1,250-500 Hz,0.13373085856437683,-24.029693603515625,0.5842498540878296,0.12245260179042816,-30.57410430908203
100.0,2,500-750 Hz,0.05028000846505165,-28.27805519104004,0.5575861930847168,0.09266583621501923,-32.99507141113281
100.0,3,750-1000 Hz,0.25244617462158203,-21.270320892333984,0.5966401100158691,0.17753681540489197,-27.34769630432129
100.0,4,1-1.5 kHz,0.01738564670085907,-32.890098571777344,0.5336356163024902,0.03807265684008598,-40.7212028503418
100.0,5,1.5-2.5 kHz,0.07934975624084473,-26.296554565429688,0.5697518587112427,0.09232468158006668,-33.02710723876953
100.0,6,2.5-4 kHz,0.16267848014831543,-23.178709030151367,0.5933007597923279,0.13586226105690002,-29.67148780822754
100.0,7,>4 kHz,0.27456825971603394,-20.905506134033203,0.6208822727203369,0.19338634610176086,-26.604948043823242
125.0,0,<250 Hz,0.5196807384490967,-18.1346435546875,0.6538375616073608,0.28324592113494873,-23.290191650390625
125.0,1,250-500 Hz,0.44270917773246765,-18.83082389831543,0.6492496728897095,0.2642301023006439,-23.893817901611328
125.0,2,500-750 Hz,0.037531983107328415,-29.54799461364746,0.554140567779541,0.08219276368618011,-34.03679275512695
125.0,3,750-1000 Hz,0.07833058387041092,-26.35269546508789,0.5541516542434692,0.08828698098659515,-33.415531158447266
125.0,4,1-1.5 kHz,0.0013734947424381971,-43.91374206542969,0.5287454128265381,0.012346144765615463,-50.502838134765625
125.0,5,1.5-2.5 kHz,0.07434140145778656,-26.579702377319336,0.5683726072311401,0.08908125758171082,-33.337738037109375
125.0,6,2.5-4 kHz,0.040533069521188736,-29.21391487121582,0.5635138750076294,0.06267630308866501,-36.391395568847656
125.0,7,>4 kHz,0.06380659341812134,-27.24335479736328,0.5690656900405884,0.08168107271194458,-34.09103775024414
150.0,0,<250 Hz,1.0114185810089111,-15.242700576782227,0.7147563099861145,0.46087682247161865,-19.061767578125
