split,best_validation_accuracy,best_epoch,final_train_accuracy,final_validation_accuracy,test_accuracy,test_examples
Random split,0.8533333333333334,49.0,0.8790476190476191,0.8355555555555556,0.84,450
Speaker-disjoint split,0.538,8.0,0.9245,0.392,0.56,500
