model,trainable_parameters,best_validation_accuracy,best_epoch,final_train_accuracy,final_validation_accuracy,test_accuracy,test_gate_mean,test_examples
Conv1D,27594,0.9017013232514177,30.0,0.8892391692937697,0.9017013232514177,0.8924889543446245,nan,4074
Temporal EGFN,44714,0.855522549284364,25.0,0.8605414540609054,0.8482311639211451,0.8485517918507609,0.547,4074
Temporal EGFN Wide,189802,0.8930596813394545,37.0,0.9453670902531769,0.8911693221712126,0.885861561119293,0.444,4074
